Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Internship: School Counseling,91720,CPS,618,1,Graduate ,3,,4:00 pm - 7:00 pm,M,Mahar Hall 114,Mahar Hall ,114,Fall2016,Internship,Sean   Finnerty,30
Internship: School Counseling,91721,CPS,618,2,Graduate ,3,,4:00 pm - 7:00 pm,M,Mahar Hall 114,Mahar Hall ,201,Fall2016,Internship,Sean   Finnerty,30
Intro. to Geography,90214,GEG,100,3,Undergraduate ,3,,6:15 pm - 9:00 pm,W,Mahar Hall 201,Shineman Center ,122,Fall2016,Lecture,Amy   D'Angelo,30
Physical Geology,91750,GEO,100,4,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 122,Shineman Center ,170,Fall2016,Lecture,Rachel   Lee,30
Physical Geology,91976,GEO,100,5,Undergraduate ,3,,3:00 pm - 3:55 pm,MWF,Shineman Center 170,Shineman Center ,372,Fall2016,Lecture,Allen   Andersen,30
Physical Geology Laboratory,91033,GEO,101,6,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 372,Shineman Center ,372,Fall2016,Laboratory,Rachel   Lee,30
Physical Geology Laboratory,91400,GEO,101,7,Undergraduate ,3,,4:00 pm - 7:00 pm,F,Shineman Center 372,Park Hall ,315,Fall2016,Laboratory,Brian   Hough,30
Environmental Sustainability,90998,GEO,115,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Park Hall 315,,"100% web, no face to face ",Fall2016,Lecture,J Graham   Bradley,30
Environmental Sustainability,92992,GEO,115,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2016,Distance Learning,Kevin John  Finerghty,30
Earth Resources,91623,GEO,305,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Rich Hall ,219,Fall2016,Distance Learning,David   Valentino,30
Mineralogy,90416,GEO,310,4,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Rich Hall 219,Shineman Center ,370,Fall2016,Lecture,Allen   Andersen,30
Mineralogy Lab,90966,GEO,310,5,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 370,Shineman Center ,370,Fall2016,Laboratory,Allen   Andersen,30
Mineralogy Lab,93188,GEO,310,6,Undergraduate ,3,,9:35 am - 12:30 pm,T,Shineman Center 370,,"100% web, no face to face ",Fall2016,Laboratory,Allen   Andersen,30
Earth's Fury,91622,GEO,315,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Shineman Center ,370,Fall2016,Distance Learning,Kevin John  Finerghty,30
Structural Geology,91977,GEO,330,1,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 370,Shineman Center ,370,Fall2016,Lecture,David   Valentino,30
